板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
主板,江苏东方盛虹股份有限公司,"Jiangsu Eastern Shenghong Co.,Ltd.",000301,东方盛虹,2000-05-29,,,,C 制造业
主板,美的集团股份有限公司,"Midea Group Co., Ltd.",000333,美的集团,2013-09-18,,,,C 制造业
主板,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",000338,潍柴动力,2007-04-30,,,,C 制造业
主板,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD",000400,许继电气,1997-04-18,,,,C 制造业
主板,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD",000401,冀东水泥,1996-06-14,,,,C 制造业
主板,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD.",000402,金 融 街,1996-06-26,,,,K 房地产
主板,南方双林生物制药股份有限公司,"Southern Shuanglin Bio-pharmacy Co., LTD",000403,双林生物,1996-06-28,,,,C 制造业
主板,长虹华意压缩机股份有限公司,"CHANGHONG HUAYI COMPRESSOR CO., LTD.",000404,长虹华意,1996-06-19,,,,C 制造业
主板,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD.",000407,胜利股份,1996-07-03,,,,D 水电煤气
主板,藏格控股股份有限公司,ZANGGE HOLDING COMPANY LIMITED,000408,*ST藏格,1996-06-28,,,,C 制造业
主板,山东地矿股份有限公司,"SHANDONG GEO-MINERAL CO., LTD",000409,ST地矿,1996-06-27,,,,S 综合
主板,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD",000410,*ST沈机,1996-07-18,,,,C 制造业
主板,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD.",000411,英特集团,1996-07-16,,,,F 批发零售
主板,东旭光电科技股份有限公司,"Tunghsu Optoelectronic Technology Co., Ltd.",000413,东旭光电,1996-09-25,200413,东旭B,1996-07-08,C 制造业
主板,渤海租赁股份有限公司,"Bohai Leasing Co.,Ltd.",000415,渤海租赁,1996-07-16,,,,L 商务服务
主板,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd",000416,民生控股,1996-07-19,,,,J 金融业
主板,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD",000417,合肥百货,1996-08-12,,,,F 批发零售
